time_taken,start_code,code,condition,believe_in_effectiveness,comprehension,previous_study,age,gender,education,test_question,test_question2,comments,cheat_detection,time_page_1,time_page_2,belief_in_medicine,belief_in_science
45,ae271,4c3117,graph,3,15,no,32,female,some_college,common_cold,20,,,8256,10992,7,9
159,ae4bd,4c412b,graph,7,16,no,68,female,some_college,common_cold,20,,,23179,80603,5,7
95,ae719,4c51af,no_graph,4,15,no,23,male,high-school,common_cold,20,,,16370,44476,3,7
74,ae38b,4c38cd,graph,6,12,no,33,female,college_or_more,common_cold,20,,,21109,18452,4,9
74,ae5d7,4c48e1,graph,7,16,no,43,female,some_college,common_cold,20,,,19844,21784,3,5
71,ae743,4c52d5,no_graph,7,14,no,30,female,some_college,common_cold,20,,,16020,26730,9,8
94,ae823,4c58f5,no_graph,6,11,no,30,male,college_or_more,common_cold,20,,,22028,33019,2,8
48,ae93d,4c60ab,no_graph,7,14,no,31,female,high-school,common_cold,20,,,11390,13080,9,8
262,ae4c7,4c4171,graph,5,10,no,27,female,some_college,common_cold,20,,,77698,126551,5,9
71,ae42b,4c3d2d,graph,2,16,no,24,male,college_or_more,common_cold,20,,,9244,30319,8,7
242,ae39b,4c393d,graph,6,12,no,25,female,some_college,common_cold,20,Fun!,,146846,65235,9,9
220,ae9d7,4c64e1,no_graph,7,15,no,34,male,some_college,common_cold,20,,,51390,120390,7,9
144,ae14f,4c2929,graph,5,18,no,44,male,high-school,common_cold,20,They just can't profit when we are all healthy.,,26935,52645,9,9
88,ae769,4c53df,no_graph,8,18,no,26,female,college_or_more,common_cold,20,no,,25202,30438,4,9
81,ae90b,4c5f4d,no_graph,8,12,no,29,male,college_or_more,common_cold,20,,,17908,19724,3,9
112,aeae1,4c6c27,no_graph,6,18,no,31,male,college_or_more,common_cold,20,,,28410,45774,4,7
101,ae1bb,4c2c1d,graph,7,16,no,34,female,high-school,common_cold,20,,,22012,26159,7,7
110,ae965,4c61c3,no_graph,7,16,no,40,male,college_or_more,common_cold,20,,,19686,55343,2,8
99,ae535,4c4473,graph,4,17,no,33,male,college_or_more,common_cold,20,,,19919,43712,7,9
177,ae70d,4c515b,no_graph,7,16,no,60,female,college_or_more,common_cold,20,,,43351,72722,3,8
79,ae84b,4c5a0d,no_graph,8,3,no,33,female,college_or_more,common_cold,20,,,15960,31832,3,8
85,ae2a5,4c3283,graph,2,16,no,48,male,high-school,common_cold,20,,,22033,29894,2,8
135,ae1df,4c2d19,graph,4,12,no,30,female,high-school,common_cold,20,,,41274,54616,5,7
101,aea5d,4c688b,no_graph,8,16,no,27,female,college_or_more,common_cold,20,,,20627,18789,2,9
107,ae3b5,4c39f3,graph,7,4,no,26,female,college_or_more,common_cold,20,,,29967,47500,8,9
157,ae721,4c51e7,no_graph,7,12,no,36,female,college_or_more,common_cold,20,,,29991,83204,6,8
179,aeb03,4c6d15,no_graph,9,16,no,58,female,college_or_more,common_cold,20,,,41816,78897,7,9
267,ae1c7,4c2c71,graph,7,15,no,36,male,college_or_more,common_cold,20,,,74219,156123,8,8
187,ae9dd,4c650b,no_graph,6,4,no,44,female,some_college,common_cold,20,I enjoyed participating. Thank you. ,,50609,78106,5,9
60,ae865,4c5ac3,no_graph,6,14,unsure,24,male,some_college,common_cold,20,,,17799,12283,6,9
102,ae5a7,4c4791,graph,6,16,no,30,male,some_college,common_cold,20,,,27176,35093,5,9
210,ae211,4c2e77,graph,7,8,no,70,female,college_or_more,common_cold,20,,,39965,122109,8,7
144,ae485,4c3fa3,graph,6,13,no,45,male,college_or_more,common_cold,20,,,61105,38539,7,
68,ae89f,4c5c59,no_graph,4,14,no,29,female,some_college,common_cold,20,,,18931,19130,7,9
92,ae73d,4c52ab,no_graph,7,9,no,33,male,college_or_more,common_cold,20,,,35530,27239,6,7
98,ae77b,4c545d,no_graph,8,12,no,22,male,college_or_more,common_cold,20,,,37248,24848,9,9
143,ae22d,4c2f3b,graph,4,16,no,55,female,college_or_more,common_cold,20,,,40166,49948,4,9
176,ae287,4c31b1,graph,4,9,no,30,female,college_or_more,common_cold,20,,,42668,85602,7,5
134,ae973,4c6225,no_graph,6,8,no,56,male,some_college,common_cold,20,,,27007,67664,4,7
135,aea99,4c6a2f,no_graph,9,5,no,45,male,some_college,common_cold,20,,,26065,64005,9,9
177,ae737,4c5281,no_graph,9,16,no,66,female,high-school,common_cold,20,THANK YOU,,28494,81673,8,8
80,ae937,4c6081,no_graph,6,16,no,23,female,some_college,common_cold,20,,,17638,41482,5,9
107,ae4e5,4c4243,graph,9,5,no,31,female,college_or_more,common_cold,20,,,18701,49277,6,9
152,ae7b5,4c55f3,no_graph,7,5,no,40,female,some_college,common_cold,20,interesting,,33989,75383,5,5
169,aeb11,4c6d77,no_graph,6,14,no,64,female,college_or_more,common_cold,20,Zinc,,34268,63721,6,
123,ae361,4c37a7,graph,6,8,no,42,female,college_or_more,common_cold,20,,,20427,70213,1,9
83,ae469,4c3edf,graph,6,16,no,32,female,some_college,common_cold,20,,,29030,16985,5,7
60,ae20b,4c2e4d,graph,3,3,no,30,male,college_or_more,common_cold,20,,,10100,20756,1,8
119,ae487,4c3fb1,graph,6,4,no,49,female,some_college,common_cold,20,,,36636,38612,7,7
113,ae6cb,4c4f8d,no_graph,8,13,no,31,male,some_college,common_cold,20,,,22693,55969,8,8
104,ae25f,4c3099,graph,7,16,no,26,no_answer,college_or_more,common_cold,20,,,12743,51911,3,9
103,ae3d1,4c3ab7,graph,6,16,no,42,male,some_college,common_cold,20,,,24903,42057,7,9
72,ae25d,4c308b,graph,7,16,no,35,male,college_or_more,common_cold,20,,,22999,20803,3,9
218,ae4af,4c40c9,graph,2,15,unsure,65,female,college_or_more,common_cold,20,,,21398,137415,2,9
151,ae463,4c3eb5,graph,2,4,no,36,male,college_or_more,common_cold,20,,,50657,56170,8,8
106,ae98f,4c62e9,no_graph,8,8,no,26,male,college_or_more,common_cold,20,,,14503,62772,7,9
350,ae59f,4c4759,graph,7,16,no,61,female,high-school,common_cold,20,no,,60843,170469,7,9
194,ae82d,4c593b,no_graph,9,8,unsure,43,male,college_or_more,common_cold,20,,,64006,62912,6,9
75,afdab,4cefad,graph,6,16,no,54,male,college_or_more,common_cold,20,,,16325,23390,7,8
78,b00b7,4d0501,no_graph,8,15,no,29,female,college_or_more,common_cold,20,,,20135,22769,8,9
70,b0041,4d01c7,no_graph,6,12,unsure,21,male,some_college,common_cold,20,,,11182,30965,7,8
