"","j","prior_mu","prior_sigma","prior_weight","log_C","grid","prior_d","post_d","prior_d_jansen"
"2491","2",3,2,0.25,-384.188181051841,-20.3901950975488,3.97648725916089e-31,1.21437981647381e-216,0.00580976664119978
"2492","2",3,2,0.25,-384.188181051841,-20.3501750875438,5.02395560067747e-31,1.47222027269043e-215,0.00581087370016681
"2493","2",3,2,0.25,-384.188181051841,-20.3101550775388,6.34480235963481e-31,1.77340847978887e-214,0.00581197879449565
"2494","2",3,2,0.25,-384.188181051841,-20.2701350675338,8.00970483944086e-31,2.12257234521356e-213,0.00581308192298526
"2495","2",3,2,0.25,-384.188181051841,-20.2301150575288,1.01074368107854e-30,2.5242592482224e-212,0.00581418308443658
"2496","2",3,2,0.25,-384.188181051841,-20.1900950475238,1.27494563298923e-30,2.98279320003719e-211,0.00581528227765251
"2497","2",3,2,0.25,-384.188181051841,-20.1500750375188,1.60756449191656e-30,3.50211228505128e-210,0.00581637950143797
"2498","2",3,2,0.25,-384.188181051841,-20.1100550275138,2.02614840667544e-30,4.08558943803379e-209,0.00581747475459984
"2499","2",3,2,0.25,-384.188181051841,-20.0700350175088,2.55270252686856e-30,4.73584098437462e-208,0.005818568035947
"2500","2",3,2,0.25,-384.188181051841,-20.0300150075038,3.21480971825645e-30,5.45452874599599e-207,0.00581965934429031
"2501","2",3,2,0.25,-384.188181051841,-19.9899949974988,4.04703019897164e-30,6.24216280992865e-206,0.00582074867844263
"2502","2",3,2,0.25,-384.188181051841,-19.9499749874937,5.09264878523581e-30,7.09791317605063e-205,0.00582183603721882
"2503","2",3,2,0.25,-384.188181051841,-19.9099549774887,6.40585516870112e-30,8.01943934775037e-204,0.00582292141943572
"2504","2",3,2,0.25,-384.188181051841,-19.8699349674837,8.05446341238727e-30,9.00274741027054e-203,0.00582400482391218
"2505","2",3,2,0.25,-384.188181051841,-19.8299149574787,1.01233026085903e-29,1.00420841727254e-201,0.00582508624946907
"2506","2",3,2,0.25,-384.188181051841,-19.7898949474737,1.27184425763005e-29,1.11298774665013e-200,0.00582616569492922
"2507","2",3,2,0.25,-384.188181051841,-19.7498749374687,1.59724580523389e-29,1.22567306559746e-199,0.0058272431591175
"2508","2",3,2,0.25,-384.188181051841,-19.7098549274637,2.00509838575499e-29,1.34114778203799e-198,0.00582831864086078
"2509","2",3,2,0.25,-384.188181051841,-19.6698349174587,2.51608742275831e-29,1.45813039386116e-197,0.00582939213898793
"2510","2",3,2,0.25,-384.188181051841,-19.6298149074537,3.15603546378372e-29,1.5751931820611e-196,0.00583046365232984
"2511","2",3,2,0.25,-384.188181051841,-19.5897948974487,3.95716474148811e-29,1.69078745868866e-195,0.00583153317971942
"2512","2",3,2,0.25,-384.188181051841,-19.5497748874437,4.95966673901243e-29,1.80327493436347e-194,0.00583260071999158
"2513","2",3,2,0.25,-384.188181051841,-19.5097548774387,6.21365259612447e-29,1.91096445031605e-193,0.00583366627198327
"2514","2",3,2,0.25,-384.188181051841,-19.4697348674337,7.7815757517457e-29,2.01215301448457e-192,0.00583472983453343
"2515","2",3,2,0.25,-384.188181051841,-19.4297148574287,9.74123990507262e-29,2.10516980920597e-191,0.00583579140648305
"2516","2",3,2,0.25,-384.188181051841,-19.3896948474237,1.2189532150385e-28,2.18842161795628e-190,0.00583685098667513
"2517","2",3,2,0.25,-384.188181051841,-19.3496748374187,1.52470541784743e-28,2.26043796659337e-189,0.0058379085739547
"2518","2",3,2,0.25,-384.188181051841,-19.3096548274137,1.90638651888914e-28,2.31991420335691e-188,0.00583896416716883
"2519","2",3,2,0.25,-384.188181051841,-19.2696348174087,2.38266004011495e-28,2.36575075968755e-187,0.00584001776516659
"2520","2",3,2,0.25,-384.188181051841,-19.2296148074037,2.97672909741457e-28,2.39708694343323e-186,0.00584106936679913
"2521","2",3,2,0.25,-384.188181051841,-19.1895947973987,3.71742874224349e-28,2.41332781421878e-185,0.00584211897091959
"2522","2",3,2,0.25,-384.188181051841,-19.1495747873937,4.64057825444167e-28,2.41416296874871e-184,0.00584316657638317
"2523","2",3,2,0.25,-384.188181051841,-19.1095547773887,5.79065454837916e-28,2.39957640741221e-183,0.00584421218204711
"2524","2",3,2,0.25,-384.188181051841,-19.0695347673837,7.22286207744744e-28,2.36984704405816e-182,0.00584525578677067
"2525","2",3,2,0.25,-384.188181051841,-19.0295147573787,9.00569211258038e-28,2.32553983623726e-181,0.00584629738941519
"2526","2",3,2,0.25,-384.188181051841,-18.9894947473737,1.12240857704501e-27,2.26748792997361e-180,0.00584733698884402
"2527","2",3,2,0.25,-384.188181051841,-18.9494747373687,1.39833415838561e-27,2.19676660741165e-179,0.00584837458392258
"2528","2",3,2,0.25,-384.188181051841,-18.9094547273637,1.74139408510529e-27,2.11466017530141e-178,0.00584941017351832
"2529","2",3,2,0.25,-384.188181051841,-18.8694347173587,2.16775038303679e-27,2.02262321816443e-177,0.00585044375650077
"2530","2",3,2,0.25,-384.188181051841,-18.8294147073537,2.69741387214445e-27,1.92223784731473e-176,0.00585147533174148
"2531","2",3,2,0.25,-384.188181051841,-18.7893946973487,3.3551505323134e-27,1.81516869627253e-175,0.00585250489811408
"2532","2",3,2,0.25,-384.188181051841,-18.7493746873437,4.17159887576018e-27,1.70311744075985e-174,0.00585353245449426
"2533","2",3,2,0.25,-384.188181051841,-18.7093546773387,5.18464687247239e-27,1.58777855960382e-173,0.00585455799975974
"2534","2",3,2,0.25,-384.188181051841,-18.6693346673337,6.44112800903788e-27,1.47079790905592e-172,0.00585558153279034
"2535","2",3,2,0.25,-384.188181051841,-18.6293146573287,7.99890957174704e-27,1.35373546956143e-171,0.00585660305246791
"2536","2",3,2,0.25,-384.188181051841,-18.5892946473237,9.92946278065732e-27,1.23803335679156e-170,0.0058576225576764
"2537","2",3,2,0.25,-384.188181051841,-18.5492746373187,1.23210246310457e-26,1.12498988599181e-169,0.00585864004730179
"2538","2",3,2,0.25,-384.188181051841,-18.5092546273137,1.52824860368005e-26,1.01574015955171e-168,0.00585965552023216
"2539","2",3,2,0.25,-384.188181051841,-18.4692346173087,1.89481711084616e-26,9.11243330967508e-168,0.00586066897535764
